"postal","state","clintonVotes","clintonElectors","trumpVotes","trumpElectors","johnsonVotes","steinVotes","mcmullinVotes","othersVotes","totalVotes","population2010","electors2016","electorsPerCitizen","electorsPerVoter","voterTurnout","marginOfVictory","marginOfVictoryPercent","thirdParty","clintonExpGeneral","clintonExpPrimary","trumpExpGeneral","trumpExpPrimary","trumpExpTotal","clintonExpTotal"
"GA","Georgia",1877963,0,2089104,16,125306,0,0,0,4092373,9688681,16,1.65141158017278,3.90971204237737,0.422387010161652,211141,0.051593781896225,125306,"1042562.09","1140929.28","820928.09","1759638.2","2580566.29","2183491.37"
"HI","Hawaii",266891,4,128847,0,15954,12737,0,13235,437664,1360301,4,2.94052566307016,9.13943116180449,0.321740555950485,138044,0.315410908825035,41926,"22167.24","28763.77","15242.75","0","15242.75","50931.01"
"IA","Iowa",653669,0,800983,6,59186,11479,12366,28348,1566031,3046869,6,1.96923464710823,3.83134178059055,0.513980417274258,147314,0.0940683805109861,111379,"589610.09","2575302.97","1079861.53","1501986.27","2587097.8","3164913.06"
"ID","Idaho",189765,0,409055,4,28331,8496,46476,8132,690255,1567652,4,2.551586704192,5.79495983368465,0.440311370125513,219290,0.317694185482177,91435,"5038.47","22604.57","44877.55","5940.84","50818.39","27643.04"
"IL","Illinois",3090729,20,2146015,0,209596,76802,11655,0,5536424,12831549,20,1.55865827266841,3.61244008768115,0.431469653429995,944714,0.17063613624968,298053,"2115508.18","4288581.62","440462.6","542655.08","983117.68","6404089.8"
"IN","Indiana",1039126,0,1557286,11,133993,7841,0,2712,2740958,6484229,11,1.69642373827328,4.01319538643058,0.422711474255459,518160,0.189043392857534,144546,"110004.82","63630.77","338670.57","1004764.61","1343435.18","173635.59"
"KS","Kansas",427005,0,671018,6,55406,23506,6520,947,1184402,2853132,6,2.10295212419194,5.06584757540092,0.41512345029953,244013,0.206022110736051,86379,"23531.61","40498.74","257061.31","314496.4","579340.71","64030.35"
"KY","Kentucky",628854,0,1202971,8,53752,13913,22780,1879,1924149,4339349,8,1.84359451152696,4.15768217534089,0.443418816970011,574117,0.298374502182523,92324,"17470.91","94717.45","105144.47","750222.15","855366.62","112188.36"
"LA","Louisiana",780154,0,1178638,8,37978,14031,8547,9684,2029032,4533479,8,1.76464918002267,3.94276679717225,0.44756620687997,398484,0.196391185550548,70240,"13224.03","54358.99","9474392.24","7124616.8","16621176.95","67583.02"
"MA","Massachusetts",1995196,11,1090893,0,138018,47661,2719,71,3274487,6547817,11,1.67994921055369,3.35930483156598,0.50008835005621,904303,0.276166312463601,188469,"585533.02","514044.74","1571637.43","1081948.99","2656086.42","1099577.76"
"MD","Maryland",1677926,10,943169,0,79605,35945,9330,35511,2781485,5773785,10,1.73196611927877,3.59520184361951,0.481743778128212,734757,0.264159972101234,160391,"877346.22","931967.85","322244.61","77298.77","399543.38","1809314.07"
"ME","Maine",352156,3,332418,1,37578,13995,0,0,736147,1328361,4,3.01122962809056,5.43369734577469,0.554176914257495,19738,0.0268125795527252,51573,"35025.06","51442.05","84386.58","31843.13","116229.71","86467.11"
"MI","Michigan",2268839,0,2279543,16,172136,51463,8177,19126,4799284,9884129,16,1.61875669570885,3.3338306297356,0.485554569350521,10704,0.00223033269129312,250902,"207240.07","343530.91","624750.39","129415.59","754165.98","550770.98"
"MN","Minnesota",1367716,10,1322951,0,112972,36985,53076,51113,2944813,5303925,10,1.88539619244239,3.39580136327842,0.555213921765485,44765,0.0152013048027158,254146,"141899.77","529925.09","24927.35","50846.24","75773.59","671824.86"
"MO","Missouri",1054889,0,1585753,10,96404,25086,1372,0,2763504,5988927,10,1.66974818694567,3.61859436425639,0.461435579361712,530864,0.192098147858661,122862,"622868.29","383280.46","7955201.71","914645.93","8869847.64","1006148.75"
"MS","Mississippi",462127,0,678284,6,14411,3595,0,0,1158417,2968103,6,2.02149318942099,5.17948200000518,0.390288679334915,216157,0.186596881779187,18006,"17014.18","68308.06","154509.76","246301.73","400811.49","85322.24"
"MT","Montana",177709,0,279240,3,28037,7970,0,1570,494526,989417,3,3.03208859358592,6.06641511265333,0.49981554794389,101531,0.205309730934268,37577,"4346.51","11105.19","34432.16","22715.82","57147.98","15451.7"
"NC","North Carolina",2189350,0,2362697,15,130134,12093,0,47391,4741665,9535692,15,1.57303738417726,3.16344575165053,0.497254420549657,173347,0.0365582553807576,189618,"342329.24","165000.54","968138.19","295950.51","1264088.7","507329.78"
"ND","North Dakota",93758,0,216794,3,21434,3780,0,8594,344360,672591,3,4.46036298433967,8.71181321872459,0.511990199095736,123036,0.357288883726333,33808,"2816.67","2500","15350","0","15350","5316.67"
"NE","Nebraska",283322,0,494881,5,38746,8696,0,0,825645,1826341,5,2.73771436987945,6.05587147018392,0.452076036183823,211559,0.256234822472128,47442,"22811.65","48822.52","158110.55","52368.11","210478.66","71634.17"
"NH","New Hampshire",348526,4,345790,0,30777,6496,1064,9232,741885,1316466,4,3.03843775684294,5.39167121588925,0.563542848808856,2736,0.00368790311166825,47569,"105389.54","662635.85","8073791.75","3264654.92","11348546.67","768025.39"
"NJ","New Jersey",1967444,14,1509688,0,72143,37131,0,0,3586406,8791936,14,1.59236827929594,3.90362942734314,0.407919939362616,457756,0.127636413724492,109274,"9188502.88","20844478.82","15225094.34","446503.87","15671598.21","30032981.7"
"NM","New Mexico",385234,5,319666,0,74541,9879,5825,3173,798318,2059192,5,2.42813686144857,6.26316831137467,0.38768507259158,65568,0.0821326839680428,93418,"20173.96","35071.84","86784.15","41835.66","128619.81","55245.8"
"NV","Nevada",539260,6,512058,0,37384,0,0,36683,1125385,2700691,6,2.22165364345643,5.33150877255339,0.41670261425687,27202,0.0241712836051662,74067,"585221.95","1266217.66","711719.82","271042.46","982762.28","1851439.61"
"NY","New York",4145376,29,2638135,0,162273,100110,0,0,7045894,19378087,29,1.49653575195529,4.1158723080421,0.363601112947836,1507241,0.213917637705024,262383,"24686853.21","52613917.91","11971460.06","13563707.73","25892029.53","77300771.12"
"OH","Ohio",2394164,0,2841005,18,174498,46271,12574,0,5468512,11536725,18,1.56023481533971,3.29157182063421,0.474009045027943,446841,0.0817116246613338,233343,"125127.55","265728.84","2757378.71","1264537.35","4021916.06","390856.39"
"OK","Oklahoma",420375,0,949136,7,83481,0,0,0,1452992,3751616,7,1.86586260427506,4.81764524512179,0.387297633872976,528761,0.363911845350835,83481,"58073.51","174685.81","66686.91","378407.31","445094.22","232759.32"
"OR","Oregon",991580,7,774080,0,93875,49247,0,0,1908782,3831073,7,1.82716434795161,3.66726006427135,0.498236916915966,217500,0.11394700913986,143122,"64944.87","56668.61","159638.67","82081.03","241719.7","121613.48"
"PA","Pennsylvania",2926025,0,2970146,20,146667,49941,0,0,6092779,12702887,20,1.57444524225084,3.2825743392301,0.47963734543179,44121,0.00724152312105855,196608,"1149146.41","2231385.64","910146.16","478123.17","1388269.33","3380532.05"
"RI","Rhode Island",227062,4,166454,0,14700,6171,0,0,414387,1052931,4,3.79891939737742,9.65281246757258,0.393555703080259,60608,0.14625941450866,20871,"1672543.3","1767119.49","20874.59","81820.05","102694.64","3439662.79"
"SC","South Carolina",855373,0,1155389,9,49204,13034,21016,9011,2103027,4625401,9,1.94577724180022,4.2795456263757,0.454669119499045,300016,0.142659128960303,92265,"42995.21","717929.34","264739.37","1144959.84","1419199.21","760924.55"
"SD","South Dakota",117442,0,227701,3,20845,0,0,0,365988,814191,3,3.68463910802256,8.19699006524804,0.449511232622321,110259,0.301263975868061,20845,"4290.23","25110.68","18067.64","1430.91","19498.55","29400.91"
"TN","Tennessee",868853,0,1519926,11,70286,15952,0,0,2475017,6346275,11,1.73330024305597,4.44441391715693,0.389995233424332,651073,0.263057991116829,86238,"134238.44","255618","451674.5","516215.7","967890.2","389856.44"
"TX","Texas",3877868,0,4685047,38,283492,71558,42366,8895,8969226,25146105,38,1.51116842946452,4.23670894233237,0.356684504419273,807179,0.0899942759832342,406311,"2020700.55","3238167.26","83973859.66","11984793.76","95958877.42","5258867.81"
"UT","Utah",310674,0,515211,6,39608,9438,243685,0,1118616,2763888,6,2.1708549695212,5.36377094552554,0.404725517097654,204537,0.182848269647493,292731,"423526.03","187555.74","111385.68","275856.38","387242.06","611081.77"
"VA","Virginia",1981473,13,1769443,0,118274,27638,54054,31870,3982752,8001045,13,1.62478776209858,3.26407469006355,0.497778977621048,212030,0.0532370581949366,231836,"804666.68","6856768.43","87378921.73","22020143.05","109406334.78","7661435.11"
"VT","Vermont",178573,3,95369,0,10078,6758,629,29060,320467,625745,3,4.79428521202726,9.36133829692293,0.512136733014247,83204,0.259633597219058,46525,"6167.99","24177.12","30788.61","50678.98","81467.59","30345.11"
"WA","Washington",1742718,12,1221747,0,160879,58417,0,0,3183761,6724543,12,1.78450788403019,3.76912714239542,0.473453883780652,520971,0.163633828041741,219296,"5861271.74","2385956.95","473352.05","596611.68","1069963.73","8247228.69"
"WI","Wisconsin",1381823,0,1404000,10,106585,31006,0,0,2975313,5687289,10,1.75830698949886,3.36099092767719,0.523151364384683,22177,0.0074536695803097,137591,"96170.76","111015.62","580833.48","298477.51","879310.99","207186.38"
"WV","West Virginia",188794,0,489371,5,23004,8075,0,0,713051,1853011,5,2.69831101920064,7.01212115262443,0.384806674110407,300577,0.421536467938478,31079,"12279.8","7650.58","17141.33","74262","91403.33","19930.38"
"WY","Wyoming",55973,0,174419,3,13287,2515,0,9655,258788,563767,3,5.32134729418359,11.5925004250583,0.459033607855728,118446,0.457695101782154,25457,"17270.58","16338.64","148333","2500","150833","33609.22"
