"","state","postal","clintonVotes","clintonElectors","trumpVotes","trumpElectors","johnsonVotes","steinVotes","mcmullinVotes","othersVotes","totalVotes","population2010","electors2016","electorsPerCitizen","electorsPerVoter","voterTurnout","marginOfVictory","marginOfVictoryPercent","thirdParty"
"38","Oregon","OR",991580,7,774080,0,93875,49247,0,0,1908782,3831073,7,1.82716434795161,3.66726006427135,0.498236916915966,217500,0.11394700913986,143122
"39","Pennsylvania","PA",2926025,0,2970146,20,146667,49941,0,0,6092779,12702887,20,1.57444524225084,3.2825743392301,0.47963734543179,44121,0.00724152312105855,196608
"40","Rhode Island","RI",227062,4,166454,0,14700,6171,0,0,414387,1052931,4,3.79891939737742,9.65281246757258,0.393555703080259,60608,0.14625941450866,20871
"41","South Carolina","SC",855373,0,1155389,9,49204,13034,21016,9011,2103027,4625401,9,1.94577724180022,4.2795456263757,0.454669119499045,300016,0.142659128960303,92265
"42","South Dakota","SD",117442,0,227701,3,20845,0,0,0,365988,814191,3,3.68463910802256,8.19699006524804,0.449511232622321,110259,0.301263975868061,20845
"43","Tennessee","TN",868853,0,1519926,11,70286,15952,0,0,2475017,6346275,11,1.73330024305597,4.44441391715693,0.389995233424332,651073,0.263057991116829,86238
"44","Texas","TX",3877868,0,4685047,38,283492,71558,42366,8895,8969226,25146105,38,1.51116842946452,4.23670894233237,0.356684504419273,807179,0.0899942759832342,406311
"45","Utah","UT",310674,0,515211,6,39608,9438,243685,0,1118616,2763888,6,2.1708549695212,5.36377094552554,0.404725517097654,204537,0.182848269647493,292731
"46","Vermont","VT",178573,3,95369,0,10078,6758,629,29060,320467,625745,3,4.79428521202726,9.36133829692293,0.512136733014247,83204,0.259633597219058,46525
"47","Virginia","VA",1981473,13,1769443,0,118274,27638,54054,31870,3982752,8001045,13,1.62478776209858,3.26407469006355,0.497778977621048,212030,0.0532370581949366,231836
"48","Washington","WA",1742718,12,1221747,0,160879,58417,0,0,3183761,6724543,12,1.78450788403019,3.76912714239542,0.473453883780652,520971,0.163633828041741,219296
"49","West Virginia","WV",188794,0,489371,5,23004,8075,0,0,713051,1853011,5,2.69831101920064,7.01212115262443,0.384806674110407,300577,0.421536467938478,31079
"50","Wisconsin","WI",1381823,0,1404000,10,106585,31006,0,0,2975313,5687289,10,1.75830698949886,3.36099092767719,0.523151364384683,22177,0.0074536695803097,137591
"51","Wyoming","WY",55973,0,174419,3,13287,2515,0,9655,258788,563767,3,5.32134729418359,11.5925004250583,0.459033607855728,118446,0.457695101782154,25457
